epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8332.21,1.18744,0.9329,1.19383,0.8241,0.76423,0.85305,0.6115,1.00473,0.73368,1.12769,0.0505029,0.000499971,0.000499971
2,16420.5,1.11444,0.84413,1.16151,0.83525,0.79469,0.87789,0.64834,0.93903,0.66229,1.09159,0.000953394,0.000950472,0.000950472
3,24510.3,1.06994,0.79186,1.13802,0.84129,0.80411,0.88698,0.66301,0.91426,0.63177,1.07796,0.000901,0.000901,0.000901
4,32583.3,1.04419,0.76356,1.12458,0.84545,0.80827,0.89202,0.67074,0.90156,0.61596,1.07118,0.0008515,0.0008515,0.0008515
5,40656.3,1.02732,0.74198,1.115,0.84716,0.811,0.89458,0.67476,0.89524,0.60689,1.0673,0.000802,0.000802,0.000802
6,48723.3,1.01251,0.72619,1.10657,0.84821,0.81231,0.89592,0.67719,0.89142,0.60277,1.06489,0.0007525,0.0007525,0.0007525
7,56787.8,1.00133,0.71184,1.09842,0.8483,0.81337,0.89694,0.67903,0.88882,0.6007,1.06316,0.000703,0.000703,0.000703
8,64853,0.99156,0.70072,1.09323,0.84943,0.8132,0.89789,0.68082,0.8868,0.60026,1.06177,0.0006535,0.0006535,0.0006535
9,72919.3,0.98321,0.69273,1.0879,0.85003,0.81335,0.89874,0.68268,0.885,0.60099,1.06041,0.000604,0.000604,0.000604
10,80987.2,0.97288,0.68157,1.08207,0.85108,0.81385,0.89949,0.68443,0.88289,0.60081,1.0589,0.0005545,0.0005545,0.0005545
11,89026.7,0.96336,0.6652,1.08478,0.85271,0.81397,0.9003,0.68578,0.8814,0.60153,1.05791,0.000505,0.000505,0.000505
12,97059.5,0.95391,0.6542,1.07925,0.85504,0.81335,0.90114,0.68746,0.87981,0.60207,1.05682,0.0004555,0.0004555,0.0004555
13,105082,0.94313,0.64169,1.07306,0.85565,0.81367,0.90205,0.68923,0.87793,0.60166,1.05549,0.000406,0.000406,0.000406
14,113086,0.93364,0.63114,1.0682,0.85575,0.81456,0.90291,0.69083,0.87566,0.59998,1.05395,0.0003565,0.0003565,0.0003565
15,121101,0.92255,0.62015,1.06055,0.85576,0.81585,0.90397,0.69274,0.87333,0.5976,1.05216,0.000307,0.000307,0.000307
16,129108,0.91132,0.60846,1.05556,0.8559,0.81711,0.90501,0.69453,0.87071,0.59429,1.05031,0.0002575,0.0002575,0.0002575
17,137115,0.89849,0.59536,1.04806,0.85632,0.81824,0.90602,0.69632,0.86794,0.59127,1.04829,0.000208,0.000208,0.000208
18,8098.42,0.90273,0.60705,1.04492,0.85668,0.82227,0.90824,0.69898,0.86243,0.57547,1.04436,0.0001585,0.0001585,0.0001585
19,16156.1,0.89073,0.59436,1.03759,0.85791,0.82453,0.91003,0.70123,0.85781,0.56535,1.04085,0.000109,0.000109,0.000109
20,24233.6,0.87725,0.58034,1.02937,0.85829,0.82709,0.91156,0.70323,0.85386,0.55815,1.03783,5.95e-05,5.95e-05,5.95e-05
