epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,793.255,1.02393,4.02951,1.53147,1.37407,0.44828,0.39559,0.34679,0.21847,0.11996,0.08604,0.03081,0.00597,1.35264,4.40976,1.99254,1.47493,0.0668783,0.00019993,0.00019993
2,1551.72,0.95766,3.89042,1.40633,1.32148,0.4722,0.50392,0.46805,0.33527,0.43035,0.31352,0.26879,0.09948,1.08916,3.81074,1.49128,1.27921,0.0337443,0.00039932,0.00039932
3,2300.08,0.90077,3.80342,1.32928,1.28053,0.56019,0.53948,0.51146,0.37649,0.45337,0.33399,0.28767,0.10947,0.94889,3.65968,1.3698,1.16171,0.000607945,0.000596274,0.000596274
4,3046.03,0.85497,3.73782,1.26926,1.24987,0.5357,0.55133,0.52331,0.39489,0.4702,0.33377,0.29776,0.11453,0.88476,3.5711,1.25165,1.13116,0.000591794,0.000591794,0.000591794
5,3791.43,0.82239,3.68573,1.22398,1.23069,0.56574,0.56186,0.5484,0.4227,0.45479,0.36493,0.31043,0.12013,0.81643,3.52157,1.20694,1.079,0.000585464,0.000585464,0.000585464
6,4536.71,0.80117,3.65597,1.19535,1.21535,0.60223,0.5766,0.57626,0.44933,0.48882,0.36201,0.32684,0.12812,0.79059,3.4521,1.14579,1.05435,0.000577392,0.000577392,0.000577392
7,5280.21,0.7787,3.62493,1.17016,1.20117,0.59252,0.59703,0.57526,0.44681,0.47592,0.38341,0.33388,0.1296,0.78113,3.43036,1.12014,1.05261,0.000567629,0.000567629,0.000567629
8,6022.97,0.76526,3.60718,1.1511,1.19332,0.57642,0.61565,0.58506,0.46301,0.47483,0.39247,0.34015,0.13155,0.75051,3.393,1.10372,1.03956,0.000556234,0.000556234,0.000556234
9,6766.87,0.7564,3.58136,1.13817,1.1873,0.59385,0.61097,0.59204,0.47099,0.47775,0.39091,0.33609,0.13031,0.71141,3.36608,1.06965,1.01253,0.000543278,0.000543278,0.000543278
10,7508.77,0.74101,3.56096,1.11931,1.17737,0.61396,0.61606,0.61468,0.4893,0.50085,0.39164,0.35229,0.13706,0.70839,3.33447,1.03962,1.00361,0.000528841,0.000528841,0.000528841
